Distance,Elevation
0.0,301.7663581416375
1.0,301.83133542244246
2.0,301.89221230099156
3.0,301.9490958458968
4.0,302.00209197519473
5.0,302.0513054563462
6.0,302.09683990623665
7.0,302.13879779117605
8.0,302.1772804268986
9.0,302.2123879785632
10.0,302.2442194607531
11.0,302.272872737476
12.0,302.29844452216423
13.0,302.32103037767433
14.0,302.3407247162875
15.0,302.3576207997094
16.0,302.3718107390701
17.0,302.383385494924
18.0,302.3924348772503
19.0,302.39904754545245
20.0,302.40331100835823
21.0,302.40531162422025
22.0,302.40513460071526
23.0,302.4028639949447
24.0,302.3985827134343
25.0,302.3923725121344
26.0,302.3843139964197
27.0,302.3744866210894
28.0,302.3629686903672
29.0,302.3498373579013
30.0,302.3351686267643
31.0,302.31903734945325
32.0,302.30151722788963
33.0,302.2826808134196
34.0,302.2625995068135
35.0,302.2413435582664
36.0,302.21898206739763
37.0,302.1955829832511
38.0,302.17121310429513
39.0,302.1459380784226
40.0,302.1198224029507
41.0,302.0929294246213
42.0,302.0653213396005
43.0,302.037059193479
44.0,302.008202881272
45.0,301.9788111474191
46.0,301.9489415857844
47.0,301.91865063965633
48.0,301.88799360174806
49.0,301.85702461419703
50.0,301.82579666856515
51.0,301.79436160583884
52.0,301.76277011642907
53.0,301.73107174017105
54.0,301.6993148663247
55.0,301.6675467335742
56.0,301.63581343002846
57.0,301.60415989322064
58.0,301.57262991010833
59.0,301.54126611707375
60.0,301.51010999992354
61.0,301.4792018938887
62.0,301.4485809836249
63.0,301.4182853032121
64.0,301.38835173615473
65.0,301.3588160153819
66.0,301.3297127232468
67.0,301.3010752915275
68.0,301.27293600142633
69.0,301.24532598357
70.0,301.2182752180099
71.0,301.1918125342218
72.0,301.16596561110583
73.0,301.1407609769867
74.0,301.11622400961363
75.0,301.0923789361602
76.0,301.0692488332244
77.0,301.0468556268289
78.0,301.02522009242074
79.0,301.0043618548714
80.0,300.9842993884767
81.0,300.9650500169572
82.0,300.94662991345774
83.0,300.9290541005477
84.0,300.9123364502209
85.0,300.89648968389554
86.0,300.8815253724145
87.0,300.8674539360449
88.0,300.8542846444785
89.0,300.84202561683145
90.0,300.83068382164436
91.0,300.8202650768823
92.0,300.8107740499349
93.0,300.802214257616
94.0,300.79458806616435
95.0,300.7878966912427
96.0,300.78214019793853
97.0,300.7773175007638
98.0,300.7734263636547
99.0,300.7704633999723
100.0,300.7684261876239
101.0,300.76404825262335
102.0,300.76125388932064
103.0,300.7601016459024
104.0,300.76065457995315
105.0,300.7629804260413
106.0,300.76715176420737
107.0,300.77324618935404
108.0,300.7796373042187
109.0,300.7861608241484
110.0,300.7926607630789
111.0,300.7998263503938
112.0,300.8078458805974
113.0,300.81669746405555
114.0,300.8264665506946
115.0,300.83731671734074
116.0,300.84918515906514
117.0,300.8620120992947
118.0,300.87574078354163
119.0,300.8903174735477
120.0,300.90569144184803
121.0,300.9218149667514
122.0,300.9386433277399
123.0,300.9561348012841
124.0,300.9742506570768
125.0,300.9928911244179
126.0,301.0119396205136
127.0,301.031346815674
128.0,301.0510653250765
129.0,301.07104968232767
130.0,301.09125631320364
131.0,301.11164936392345
132.0,301.1322890634378
133.0,301.153122304304
134.0,301.1740986084801
135.0,301.1941424797572
136.0,301.2130351694275
137.0,301.2305807463666
138.0,301.24657772328027
139.0,301.2609407688012
140.0,301.27380046308855
141.0,301.2861204279952
142.0,301.29783528725125
143.0,301.30888535902045
144.0,301.3192114851212
145.0,301.32870075331596
146.0,301.33732022455735
147.0,301.345041940345
148.0,301.35184290017844
149.0,301.35770504038743
150.0,301.3626152143397
151.0,301.3663582496015
152.0,301.36891150367364
153.0,301.3702267291692
154.0,301.37025911278954
155.0,301.36896719874426
156.0,301.36631281323673
157.0,301.3622609900174
158.0,301.356779897002
159.0,301.3498407639581
160.0,301.341417811256
161.0,301.33148817968794
162.0,301.32003186135245
163.0,301.3070316316062
164.0,301.2924729820809
165.0,301.2763440547686
166.0,301.25863557717093
167.0,301.23937711423747
168.0,301.21864400307453
169.0,301.1964498470491
170.0,301.1728114114473
171.0,301.14774858368673
172.0,301.1213001966133
173.0,301.0935336447635
174.0,301.06446966922033
175.0,301.03413245236857
176.0,301.00254957278577
177.0,300.9697519615074
178.0,300.9357738596705
179.0,300.9006527775318
180.0,300.86442945486397
181.0,300.8271478227275
182.0,300.78885496662036
183.0,300.74960109100243
184.0,300.70943948519795
185.0,300.66842649067354
186.0,300.62662146969365
187.0,300.58408677535175
188.0,300.54088772297854
189.0,300.4970925629266
190.0,300.45277245473153
191.0,300.40813846179117
192.0,300.3633218184722
193.0,300.318373551231
194.0,300.27337363673
195.0,300.22838758520066
196.0,300.18348346136145
197.0,300.13873381108067
198.0,300.09421561160997
199.0,300.0500102236594
200.0,300.00620334531345
201.0,299.96288496778925
202.0,299.9201493330373
203.0,299.8780948931816
204.0,299.8368242718036
205.0,299.79644422706775
206.0,299.7570656166865
207.0,299.7188033647301
208.0,299.6817764302755
209.0,299.6458070335026
210.0,299.6110074887393
211.0,299.57755693229774
212.0,299.54563566636773
213.0,299.515425206348
214.0,299.4871083293086
215.0,299.4608691235839
216.0,299.4368930394955
217.0,299.41536694120566
218.0,299.39647915970033
219.0,299.3804195469038
220.0,299.3667540860027
221.0,299.35502384232996
222.0,299.34525539960396
223.0,299.33746818734863
224.0,299.3316743283814
225.0,299.32787848536924
226.0,299.32607770645683
227.0,299.3262612699621
228.0,299.32841052814405
229.0,299.3324987500378
230.0,299.3384669313887
231.0,299.34591214946175
232.0,299.354837006439
233.0,299.36523233780065
234.0,299.37707712622637
235.0,299.39033841380007
236.0,299.40497121251235
237.0,299.42091841306564
238.0,299.4381106919794
239.0,299.4564664169958
240.0,299.4758915507861
241.0,299.49636506760936
242.0,299.51786909729145
243.0,299.5407427670749
244.0,299.56551172873145
245.0,299.59215228489774
246.0,299.6206375914263
247.0,299.65093771169046
248.0,299.6830196715343
249.0,299.7168475148641
250.0,299.7523823598839
251.0,299.78958245597494
252.0,299.82840324121753
253.0,299.86879740055747
254.0,299.9107548836785
255.0,299.95449442838265
256.0,299.99991630346386
257.0,300.0469207544235
258.0,300.0954080028708
259.0,300.14527824719596
260.0,300.1964316645171
261.0,300.24876841390113
262.0,300.3021886408568
263.0,300.3565924831026
264.0,300.4121259925214
265.0,300.4688426895768
266.0,300.52658329111694
267.0,300.5851919152242
268.0,300.6445160088546
269.0,300.7044062776146
270.0,300.7647166176727
271.0,300.8253040498092
272.0,300.8860286555994
273.0,300.94729112547515
274.0,301.00894416488495
275.0,301.07077601995564
276.0,301.1325823902567
277.0,301.19416625920104
278.0,301.25534618873985
279.0,301.31635743071433
280.0,301.37708229959355
281.0,301.43741288955897
282.0,301.49723118530505
283.0,301.55638809366934
284.0,301.61481619892106
285.0,301.6724569279683
286.0,301.7292605053326
