Distance,Elevation
0.0,2.689855727757698
0.5,2.68743584274835
1.0,2.685193509230087
1.5,2.683124272968507
2.0,2.6812237179707767
2.5,2.6794874664856305
3.0,2.6779111790033703
3.5,2.6764905542558672
4.0,2.6752213292165603
4.5,2.6740992791004556
5.0,2.673120217364129
5.5,2.672279995705723
6.0,2.6715745040649495
6.5,2.6709996706230874
7.0,2.670551461802985
7.5,2.6702258822690577
8.0,2.670018974927289
8.5,2.6699268209252316
9.0,2.6699455396520055
9.5,2.6700712887382987
10.0,2.670300264056368
10.5,2.6706286997200372
11.0,2.6710528680847005
11.5,2.6715690797473175
12.0,2.6721736835464176
12.5,2.672863066562098
13.0,2.6736336541160237
13.5,2.6744819097714285
14.0,2.675404335333114
14.5,2.6763974708474496
15.0,2.677457894602373
15.5,2.678582223127391
16.0,2.6797671111935766
16.5,2.681009251813573
17.0,2.6823053762415903
17.5,2.6836522539734067
18.0,2.685046692746369
18.5,2.6864855385393924
19.0,2.6879656755729595
19.5,2.6894840263091218
20.0,2.691037551451498
20.5,2.692623249945276
21.0,2.6942381589772104
21.5,2.695879353975626
22.0,2.697543948610414
22.5,2.699229094793034
23.0,2.700931982676515
23.5,2.7026498406554524
24.0,2.7043799353660107
24.5,2.7061195716859228
25.0,2.707866092734489
25.5,2.7096168798725784
26.0,2.7113693527026275
26.5,2.7131209690686413
27.0,2.7148692250561934
27.5,2.716611654992425
28.0,2.718345831446045
28.5,2.720069365227332
29.0,2.721779905388131
29.5,2.7234751392218564
30.0,2.7251527922634895
30.5,2.726810628289581
31.0,2.7284464493182496
31.5,2.7300580956091807
32.0,2.7316434456636296
32.5,2.733200416224419
33.0,2.7347269622759396
33.5,2.73622107704415
34.0,2.737680791996578
34.5,2.739104176842319
35.0,2.740489339532036
35.5,2.7418344262579604
36.0,2.7431376214538923
36.5,2.7443971477951994
37.0,2.7456112661988175
37.5,2.746778275823251
38.0,2.7478965140685716
38.5,2.7489643565764204
39.0,2.749980217230006
39.5,2.750942548154104
40.0,2.7518498397150606
40.5,2.7527006205207876
41.0,2.753493457420767
41.5,2.7542269555060472
42.0,2.7548997581092465
42.5,2.7555105468045493
43.0,2.75605804140771
43.5,2.7565409999760506
44.0,2.7569582188084607
44.5,2.757308532445398
45.0,2.757590813668889
45.5,2.757803973502529
